Threads	InitStressTermsForElems	 IntegrateStressForElems	CalcHourglassControlForElems	CalcFBHourglassForceForElems	CalcAccelerationForNodes	ApplyAccelerationBoundaryConditionsForNodes	CalcVelocityForNodes	 CalcKinematicsForElems	CalcLagrangeElements	Region CalcMonotonicQGradientsForElems	Region ApplyMaterialPropertiesForElems	EvalEOSForElems	CalcEnergyForElems:KERNEL_1	CalcPressureForElems	CalcEnergyForElems:KERNEL_2	CalcEnergyForElems:KERNEL_3	CalcEnergyForElems:KERNEL_4	CalcEnergyForElems:KERNEL_5	CalcSoundSpeedForElems	UpdateVolumesForElems	CalcCourantConstraintForElems	CalcHydroConstraintForElems
1	71.7874	1212.921	1348.634	1358.59	68.8046	0.4971	42.0425	1186.078	49.777	657.871	66.683	565.0404	73.0328	165.618	119.3161	26.7447	136.8514	99.3301	49.3783	15.3406	66.638	22.3667
2	37.9192	672.9312	694.5189	846.6126	34.9054	0.2818	22.9211	593.5402	25.9368	331.2693	35.4279	304.1344	40.5067	88.1679	65.1435	14.0522	73.9907	54.4392	27.8601	8.7921	34.3042	11.811
3	27.3009	453.0968	480.5938	569.1506	23.7575	0.1991	17.3244	396.181	18.2929	222.496	25.9284	219.791	30.361	63.8994	48.47	9.9895	54.1435	40.2242	20.8871	6.6254	23.6746	8.2522
4	23.6575	343.644	393.6753	431.7248	18.6586	0.1597	15.2337	297.6371	15.4034	167.4236	21.4131	182.5375	26.0527	53.2456	41.345	8.3805	44.8564	33.3826	17.4212	5.7462	18.4507	6.7078
5	21.65	280.5255	346.529	352.4408	16.1611	0.1328	14.0993	238.4469	14.3019	134.5805	18.8478	159.4033	23.5027	47.7238	37.6153	7.4454	39.4248	29.3025	15.3213	5.3285	15.1914	5.6561
6	20.3197	240.2197	321.2883	304.0215	14.9563	0.1124	13.4197	198.8408	13.643	113.0576	17.1514	146.5791	21.4766	43.6878	35.1028	6.8492	36.3687	26.9245	14.1113	4.9853	13.1248	4.9293
7	19.4375	213.1056	305.1719	271.7833	14.4137	0.0966	12.9042	170.4895	13.037	98.2323	15.9678	137.2937	20.6144	41.3309	33.8541	6.4615	34.4831	25.4585	13.4203	4.6783	11.7052	4.4856
8	18.7507	193.7131	292.3722	249.0302	14.1868	0.0855	12.723	149.5932	12.7262	87.2287	15.06	131.7261	19.7059	39.5672	33.0505	6.1966	33.4236	24.5766	13.0171	4.4656	10.8875	4.2162
9	18.2779	180.0233	281.8969	233.2074	13.871	0.0768	12.4585	132.9983	12.6022	78.9491	14.4554	126.5398	19.0479	37.996	32.3483	5.9356	32.5318	23.7832	12.5732	4.2825	10.0547	3.8509
10	17.5365	170.2601	273.468	221.7867	13.7788	0.0678	12.5095	119.8065	12.5273	72.5199	13.9204	122.5609	18.7374	36.81	31.9552	5.7667	32.0271	23.2684	12.2815	4.1746	9.4622	3.62
11	17.2279	161.8917	266.174	214.5353	13.6141	0.0615	12.2905	109.1029	12.5234	67.7008	13.4705	118.7883	18.5052	36.1902	31.7834	5.6517	31.6809	22.8924	12.0929	4.0524	9.0555	3.3952
12	16.7671	155.7645	260.4447	209.6133	13.5591	0.0565	12.2867	100.1609	12.2582	64.0188	13.0041	115.9811	18.0883	35.206	31.4674	5.5431	31.3157	22.51	11.9319	3.853	8.5116	3.18
13	16.4906	150.7571	255.7158	205.3471	13.7054	0.0535	12.2593	92.7839	12.2827	61.1324	12.7031	113.9513	17.7343	34.511	31.2595	5.483	31.035	22.1459	11.7487	3.849	8.3187	3.0504
14	16.3919	145.6912	251.2442	201.1993	13.7075	0.0495	12.1832	86.4209	12.5071	58.6949	12.4305	111.5768	17.457	34.2324	31.2028	5.4491	30.972	21.8656	11.5151	3.7216	7.9869	2.9268
15	16.0887	142.4131	247.7339	197.7547	13.6311	0.0456	12.2322	81.0573	12.5161	56.9865	12.174	109.897	17.1556	34.0239	30.8125	5.3954	30.5102	21.4125	11.362	3.6065	7.9242	2.8825
16	16.0922	139.245	243.6883	194.9297	13.6773	0.0409	12.2209	76.4272	12.4612	55.5613	11.9878	107.4457	16.8412	33.4376	30.7185	5.333	30.2031	21.0273	11.1582	3.5282	7.6206	2.7882
17	15.8789	137.206	238.9041	192.1712	13.7427	0.0398	12.3003	71.9145	12.507	54.0404	11.8324	106.2594	16.7451	33.5273	30.6005	5.2544	29.9486	20.6894	10.9515	3.5359	7.4661	2.7044
18	15.6195	134.1133	235.2017	190.0728	13.737	0.0369	12.3101	68.3526	12.4468	53.3299	11.7573	104.4455	16.6042	33.3105	30.5903	5.1542	29.7306	20.3576	10.7461	3.4859	7.2346	2.6244
