1938272818786	15506409684884	52334695968714	124053291610489
1938239491293	15506410051225	52334697197207	124053296712794
1938239493622	15506410158082	52334697823953	124053299571549
1938239507351	15506410164344	52334699527550	124053302744733
1938242083439	15506409762977	52334696985369	124053300823334
1938267593212	15506409712123	52334698685226	124053304385209
1938239518093	15506410343088	52334700754047	124053311534269
1938280857149	15506410779416	52334700501973	124053315833634
1938239508353	15506410614860	52334702476889	124053318816918
1938239534816	15506410708956	52334701712473	124053321727630
