684376.1880	689464.8114	699323.2986	717780.6683	2183.7139	810729.1552	896755.9820		901108.5759
437053.1536	431828.3684	435859.1847	442050.0611	2175.0202	493899.1483	546145.6844		545846.8573
361658.9572	352116.6285	351998.8927	357388.3956	2165.0637	395686.8264	432778.0534		432941.5613
327405.2253	317363.1715	316082.2753	317274.2431	2155.2435	348632.5110	382324.1691		381959.4167
303503.9617	292818.5257	291305.8704	294310.7274	2157.2343	319593.9318	349910.3764		350826.6743
288561.7917	278042.2858	275317.5764	277680.6023	2141.7780	302820.0048	331757.0807		331285.1028
274745.1815	263789.0799	262442.3287	265997.0334	2139.1934	290241.6990	319023.2718		319377.2922
263603.4278	254729.4174	253133.1372	256776.2229	2149.1521	282250.4731	309724.6992		310828.9300
256869.9146	249454.1708	247097.7925	251167.3028	2146.1054	278061.0028	304813.6542		304943.2477
684539.4449								896931.0106
430182.4097								547969.9982
350902.3059								432837.2165
315578.7261								382260.5742
292100.4404								350769.3774
278078.2651								332446.0964
264369.7126								320061.3715
255876.0610								310263.0029
249309.9114								305307.2201
695912.8370								
