9.7518	9.8107	9.8271	9.8317	8.3144	9.9004	9.9525		9.9214
10.6443	10.7141	10.7664	10.8389	8.2286	10.9076	10.9104		10.9243
11.1408	11.3139	11.4007	11.4802	8.2370	11.5338	11.6105		11.6194
11.4964	11.7135	11.7367	11.9367	8.2029	11.9946	12.0516		12.0466
11.7915	11.9799	12.1013	12.2012	8.2304	12.3188	12.3637		12.3360
11.9570	12.1310	12.2878	12.3948	8.1950	12.5426	12.5844		12.5797
12.1363	12.3429	12.4249	12.5552	8.2022	12.6696	12.6963		12.7511
12.1765	12.3521	12.5727	12.6271	8.2281	12.8007	12.7942		12.8302
12.2699	12.5032	12.6694	12.7830	8.2515	12.8757	12.9239		12.9441
9.8090								9.9368
10.7138								10.9140
11.2984								11.6145
11.6922								12.0239
11.9603								12.3390
12.1747								12.6039
12.3220								12.7653
12.4112								12.8585
12.5003								12.9511
9.8283								
