0.0154	2.4421	0.2159	1.5122	0.1410	1.500271e-05	0.0883	2.2261	0.0822	0.8829	0.0785	0.1042	0.1526	0.1360	0.6445	0.6178	0.5823	0.5758	0.1843	0.0415	0.0690	0.0001			
0.0154	2.4761	0.2163	1.5201	0.1409	1.552167e-05	0.0885	2.2556	0.0826	0.8854	0.0786	0.1047	0.1520	0.1356	0.6318	0.6165	0.6002	0.6150	0.1884	0.0415	0.0699	0.0001			
0.0154	2.5033	0.2163	1.5258	0.1411	1.551088e-05	0.0886	2.2729	0.0829	0.8881	0.0786	0.1044	0.1510	0.1390	0.6470	0.6005	0.5978	0.5900	0.1846	0.0415	0.0702	0.0001			
0.0154	2.5228	0.2166	1.5306	0.1414	1.538777e-05	0.0887	2.2881	0.0831	0.8905	0.0787	0.1043	0.1552	0.1389	0.6624	0.6081	0.6070	0.6187	0.1875	0.0415	0.0702	0.0001			
0.0154	2.5353	0.2167	1.5337	0.1414	1.545533e-05	0.0888	2.2979	0.0832	0.8920	0.0787	0.1044	0.1545	0.1333	0.6403	0.6363	0.6093	0.5879	0.1879	0.0416	0.0705	0.0001			
0.0155	2.5502	0.2171	1.5370	0.1419	1.550413e-05	0.0891	2.3057	0.0834	0.8944	0.0788	0.1034	0.1543	0.1290	0.6418	0.6161	0.5909	0.5811	0.1829	0.0416	0.0682	0.0001			
0.0155	2.5611	0.2171	1.5385	0.1418	1.457811e-05	0.0889	2.3150	0.0835	0.8956	0.0788	0.1036	0.1498	0.1332	0.6697	0.6311	0.6028	0.6008	0.1836	0.0416	0.0685	0.0001			
0.0155	2.5688	0.2173	1.5399	0.1416	1.544658e-05	0.0888	2.3212	0.0835	0.8982	0.0788	0.1047	0.1538	0.1299	0.6314	0.5463	0.5972	0.6021	0.1820	0.0416	0.0689	0.0001			
0.0155	2.5780	0.2173	1.5438	0.1417	1.529587e-05	0.0889	2.3278	0.0835	0.8992	0.0788	0.1042	0.1522	0.1338	0.6584	0.6657	0.6045	0.6152	0.1846	0.0416	0.0691	0.0001			
0.0155	2.5841	0.2173	1.5451	0.1419	1.551267e-05	0.0889	2.3286	0.0836	0.8990	0.0788	0.1047	0.1510	0.1371	0.6353	0.5717	0.6103	0.6167	0.1856	0.0416	0.0694	0.0001			
