8650.3418	1076.0721	7487.3299	3133.7828	9801.2228	4823.3339	12903.9637	1339.0298	3776.8781	2790.5121	9848.8432	7377.7047	8157.2532	5333.9222	6270.6809	3101.6026	5175.8760	4415.2522	5283.6326	11012.3474	4045.3884	4568.9121			
10283.6819	1272.6743	8481.7595	3752.7409	10228.3499	4731.6162	14092.6839	1584.1746	4544.4213	3314.8798	11061.6593	7986.3100	9490.8447	6034.3611	7299.9762	3588.4938	5790.6357	4812.4296	5934.6731	11371.0022	4642.0604	5133.4761			
11891.2311	1468.3456	9631.8135	4357.2813	11013.7257	5015.4307	15296.8462	1828.5747	5331.2244	3810.2932	12200.8859	8947.6479	10841.7844	6667.0481	8130.3622	4206.1553	6683.9917	5777.8109	6877.1353	12425.5038	5283.1083	5757.4937			
13292.9075	1661.9992	10682.9931	4952.5255	11804.2628	5353.5781	16371.9905	2065.8030	6053.8279	4287.4507	13050.3874	9870.2037	11866.6051	7417.7477	8946.2581	4740.3062	7464.3111	6279.8764	7574.3349	13568.9197	5895.3750	6292.6044			
14490.1625	1851.3362	11702.1615	5556.2951	12533.5562	5547.2694	17197.3600	2296.2392	6784.8113	4743.9652	13885.5155	10885.6702	13286.3790	8485.3057	10292.5297	5146.1934	8388.1932	7429.5568	8415.4558	14848.3579	6507.2223	6846.5998			
16788.1125	2060.7202	14112.8484	6225.8465	17570.5136	7576.6600	22715.1854	2582.2190	7795.1281	5524.4398	16876.5902	13804.1878	16080.0204	10617.5051	12571.7158	6350.4646	10377.3929	8919.4388	10324.9515	18606.9057	7932.3461	8544.2872			
18066.7034	2255.1132	15077.2170	6834.7578	17902.0797	8043.1081	23305.8428	2827.8252	8552.5146	6043.1490	17219.7401	14249.1452	17551.5977	10882.6724	12806.1614	6687.3972	10924.8042	9287.0317	10932.2936	19049.4097	8465.5566	8925.6138			
19197.9815	2451.2404	15972.2073	7454.8488	18238.6539	7677.0703	23866.5832	3074.3105	9317.3978	6517.2050	17551.3251	14459.2622	18168.8543	11545.3733	14101.8084	8010.9898	11640.6554	9909.3008	11494.3267	19284.6010	8921.0509	9267.7228			
20002.9188	2645.7083	16798.9218	8048.3517	18477.8065	7772.5808	24175.7001	3319.6424	10038.9316	7035.6259	17998.2022	14873.9022	18800.0002	11636.2029	14137.3502	7059.6810	12090.3731	10299.9272	11835.0357	19507.1800	9342.2633	9540.1474			
20615.5211	2839.9625	17574.6503	8667.3928	18644.2673	7760.1857	24386.4770	3567.5646	10755.9390	7527.1405	18331.7588	15029.0219	19571.1368	11784.7205	14942.7344	8303.1739	12447.6703	10848.2883	12175.9141	19600.4044	9709.6827	9833.1889			
