954.9332,1018.2492,1075.8265,1127.7668,1181.3165,1242.9191,1307.6052,2119.6265,2194.7911,2194.7936
980.5930,1055.6577,1113.6633,1139.8621,1235.7218,1304.4114,1363.5967,2194.8456,2194.8278,2194.8149
1032.0414,1061.3129,1151.5174,1237.5898,1358.5968,1432.9290,1364.6212,2194.9161,2194.8952,2194.9325
1163.0006,1264.9053,1331.5967,1357.3458,1558.6828,1592.6616,1627.6434,2194.9678,2195.0205,2194.9550
1251.2755,1303.1556,1480.0772,1437.7456,1567.1505,1589.9642,1777.1813,2195.1245,2195.1507,2195.0819
1281.8337,1438.4050,1589.2082,1527.9942,1706.5562,1750.8998,1783.6381,2195.4067,2195.1622,2195.2803
1392.4433,1531.4161,1510.6729,1534.3273,1697.4504,1733.5279,1583.3040,2195.4113,2195.4333,2195.4200
1471.0744,1531.7556,1498.1091,1522.6154,1688.0133,1729.5851,1701.1997,2195.5591,2195.6157,2195.5453
1460.6526,1527.6990,1485.6728,1624.9108,1523.0993,1723.1333,1767.1624,2195.6518,2195.7667,2195.7393
1462.2106,1516.3900,1566.5089,1620.5207,1518.9874,1723.4077,1802.9459,2195.8574,2195.9638,2195.8171
1413.5720,1505.2284,1555.6994,1611.6686,1672.7693,1758.4082,1798.5055,2195.8944,2196.1637,2196.1180
1447.9795,1495.3895,1552.7807,1609.7501,1702.9776,1747.1457,1788.7640,2196.2346,2196.1221,2195.2268
1424.1211,1485.7516,1542.4296,1633.6546,1527.3296,1737.1444,1780.7402,2196.3181,2196.4638,2196.4321
1431.0727,1409.2631,1538.0769,1636.7040,1687.3000,1736.8630,1774.3888,2196.5539,2196.6361,2197.0145
1409.8842,1474.6456,1570.0518,1633.8079,1684.4765,1731.0121,1557.4025,2196.6883,2196.7092,2196.6167
1415.1053,1485.1212,1566.0703,1622.0923,1669.8216,1718.3413,1765.0679,2196.9562,2196.8772,2196.8152
1360.5784,1471.1341,1559.7214,1614.7312,1670.8737,1714.4919,1761.9945,2196.8388,2197.2163,2197.1445
1388.8919,1497.0480,1553.8173,1608.9104,1491.6396,1709.6675,1539.4939,2197.1358,2197.2406,2197.3864
