37.1650	290.7065	1061.6654	2515.2514	5613.1227
66.3701	579.7603	2336.1943	5824.5883	12372.6369
130.5320	1347.2255	5516.8402	13781.7045	28902.7918
361.7060	3077.3949	12515.1780	31109.4198	63477.2983
931.9872	6115.9130	24869.1926	61300.5306	123401.6924
1549.1081	10405.6074	41069.8293	101578.1945	202935.4398
2555.4728	17483.8974	66470.1318	165011.4162	329646.0740
4363.5313	27259.7663	103138.6071	252042.4322	506638.9425
6616.8986	38718.3287	142916.1881	354099.1683	710566.1404
10580.0199	52638.7752	195475.6612	472374.1106	951396.9823
15306.4051	77951.2362	273597.4719	639563.5810	1.278343e+06
24508.3870	93084.0766	339859.8757	820036.7420	1.639301e+06
32877.6517	131086.9784	445457.6560	1.050964e+06	2.093406e+06
