6.4061	6.3351	6.5200	6.5292	6.5073
52.2982	51.8840	51.9037	51.9517	51.9065
178.7361	177.6166	176.4820	176.0656	175.8247
420.2701	420.8678	418.3182	417.7257	417.0040
822.1899	817.6132	815.9256	815.4220	814.6426
1415.9978	1413.4523	1409.7879	1408.7176	1499.8277
2343.2314	2242.6700	2331.8275	2237.2010	2327.7476
3360.8773	3439.6764	3341.5220	3433.1236	3429.7203
5523.5906	5135.5237	4850.6185	5033.2383	4844.3472
7289.9129	6998.2847	6711.2359	6893.6387	6796.1094
9168.9412	9346.9244	9334.5932	9515.2943	9322.5744
11953.0381	12401.7091	12387.6791	12660.3266	12464.4128
15566.8469	15089.3149	15540.8305	15347.5415	14967.9052
