5.5290	37.5140	133.2640	311.5454	620.4880
52.7151	375.8329	1428.7400	3454.5077	6856.8525
238.6573	2045.8867	7648.7917	18697.1904	37095.3060
988.8053	4979.9780	18677.2118	44923.5598	88961.1680
2909.5970	11166.0150	37876.4398	89165.5953	175100.3590
6144.6849	20184.0163	65385.9838	154109.5835	302956.9110
11377.8358	36429.9231	102395.7359	244520.2958	486579.8760
20183.0531	58535.7160	168553.9482	374526.3120	726427.9470
37825.3265	93013.6078	239364.1543	550353.7342	1.042472e+06
59230.4211	135302.4230	358790.0695	750944.9892	1.441159e+06
92928.3616	236967.3083	564146.7429	1.024988e+06	1.976362e+06
159352.9384	253409.0314	644413.1528	1.334254e+06	2.597188e+06
206449.1374	400007.1767	886266.0591	1.705176e+06	3.308227e+06
