6.7219	7.7493	7.9666	8.0735	9.0463
10.0734	12.3409	13.0815	13.4888	14.4355
14.7676	17.7330	19.4723	19.9027	21.0323
23.3239	39.5053	42.8752	44.3167	45.7851
34.1782	73.1392	80.5369	86.6304	87.8456
62.4641	115.2810	135.8727	142.4657	145.6560
95.3652	164.0818	223.7607	232.6365	233.2085
132.0075	238.9541	309.6795	344.5628	356.5176
161.6327	313.6634	446.7904	469.2101	498.9087
195.3160	402.9172	545.0628	631.2037	662.3342
275.1668	480.8233	648.8305	835.8416	859.8540
302.1092	665.8084	922.1532	1066.7152	1099.9243
385.8977	724.0152	1108.7398	1355.1813	1401.3140
